difficulty,question,choice1,choice2,choice3,choice4,answer,explain
beginner,"「アライ（Ally）」とはどのような人を指すでしょう？",LGBTQ+の理解者・支援者として、職場環境改善に行動する人,当事者のみが名乗れる立場,研修を一度受けたら自動的になれる肩書き,当事者の課題には関わらない中立的な立場,0,"Ally（アライ）は、LGBTQ+を理解し支援する人を指します。
アライの存在は、相談のしやすさや孤独感の軽減につながります。
誰もが働きやすい職場づくりのための実践です。"
beginner,「どのような性別の人を好きになるか」と「自分の性別をどう認識しているか」という2つの考え方をまとめて表す言葉はどれでしょう？,SOGI,ESG,ダイバーシティ,ハラスメント,0,"SOGIは性的指向と性自認を表す言葉です。
誰もが持つ要素として考えることが重要です。
LGBTQ+当事者だけに関係する言葉ではありません。"
beginner,LGBTQ＋の「T（トランスジェンダー）」を理解する上で重要な「性自認」とは何を表すものでしょう？,自分の性別をどう認識しているかという感覚,好きな服の色のこと,出生地によって決まる性格,仕事の役職や肩書き,0,"性自認は、自分の性別をどう認識しているかを表します。
外見や周囲の決めつけとは別に存在します。
相手の自己認識を尊重する姿勢が必要です。"
beginner,LGBTQ+に該当する人の割合として、一般的によく示される割合の目安として最も近いものはどれでしょう？,人口の5〜7%（13〜20人に1人）程度,人口の0.1%未満,人口の30%以上,正確に0%とされている,0,"民間企業データでは、5〜7%（13〜20人に1人）という数値が示されています。
身近に当事者がいても不思議ではない規模であることがポイントです。
見えにくいからこそ、日常の言動や制度面での配慮が重要になります。"
beginner,LGBTQ+の説明として、最も適切なものはどれでしょう？,性的マイノリティの総称の一つで、L・G・B・T・Qなどの頭文字を含む言葉,同性同士の恋愛だけを指す言葉,海外にだけ存在する特殊な文化,職場でしか使わない専門用語,0,"LGBTQ+は性的マイノリティを表す総称の一つです。
恋愛や性別のあり方を狭く限定する言葉ではありません。
一人ひとりの違いを前提に理解することが大切です。"
beginner,LGBTQ+当事者が職場で直面しやすい課題として、最も適切な説明はどれでしょう？,差別的言動や配慮不足が、就業継続や健康に影響することがある,職場での困難はほぼ存在せず、個人の気持ちの問題だけである,問題は採用時には起きず、退職後にしか起きない,当事者だけで解決すべきで、職場環境とは無関係である,0,"職場では、差別的言動や制度上の配慮不足が課題になり得ます。
求職時・配置・日常会話・トイレ利用など、実務に直結する場面で影響が出ます。
個人の努力任せにせず、組織として環境改善に取り組むことが必要です。"
beginner,"同僚から「実は同性のパートナーがいます。このことはまだ職場の人にはあまり話していません」と打ち明けられました。
このような相談を受けた際の対応として、最も適切なものはどれでしょう？",感謝して受け止め、本人の同意なく第三者に伝えない,すぐに周囲へ共有して本人の負担を減らす,本気かどうかを何度も確認する,話題にしないために無視する,0,"自分の性的指向や性自認について他者に伝えることを「カミングアウト」と呼びます。
 例えば「同性のパートナーがいる」は主に性的指向（LGB）に関する話であり、「自分の性別を出生時と異なるものとして認識している」は主に性自認（T）に関する話です。
 いずれの場合も、本人の同意なく他者に伝えず、信頼に応える姿勢が大切です。"
beginner,職場でLGBTQ+への理解を深めるうえで、最も大切なのはどれでしょう？,一人ひとりの違いを前提に、配慮と対話を続けること,当事者だけに努力を求めること,話題を避けて何も変えないこと,決まった正解を一度伝えれば十分とすること,0,"理解は、単発の知識ではなく継続的な配慮と対話で深まります。
制度面と日常のふるまいの両方が重要です。
職場全体で取り組むことが求められます。"
beginner,職場での言葉づかいに関して、LGBTQ+への配慮として適切な考え方はどれでしょう？,相手が不快に感じる可能性を考え、表現を選ぶ,悪気がなければどんな言葉を使っても問題ない,言葉の配慮より、冗談の盛り上がりを優先する,LGBTQ+の話題は一切出さないのが最善である,0,"配慮は、相手がどう受け止めるかを意識することから始まります。
言葉選びを見直すだけでも、安心して働ける環境に近づきます。
完全に話題を避けるのではなく、適切に扱うことが重要です。"
beginner,職場で差別的言動を見かけたときの行動として、推奨されるものはどれでしょう？,悪意がなくても問題を指摘し、差別を許容しない姿勢を示す,冗談なら問題ないので、その場を和ませるために同調する,当事者が指摘するまで静観する,話題を広げないために笑って流す,0,"悪意のない冗談でも、当事者を傷つけることがあります。
非当事者側からも、差別的な言動を止めることが大切です。
職場全体で許容しない姿勢を示すことが重要です。"
